InvoiceNo,PO_No,InvoiceSubTotal,InvoiceTax,InvoiceTotal,PO_Amount,ExpectedDate,PaymentDueDate,VendorName,Invoice_LineItems,PO_LineItems,IsFraud
INV-100910,PO-200910,631.27,0.12,707.02,707.02,2025-09-02 04:03:25.031501,2025-10-02 04:03:25.031501,Vendor_6,ItemList,POList,0
INV-100911,PO-200911,341.26,0.15,406.1,406.1,2025-08-31 04:03:25.031506,2025-09-30 04:03:25.031506,Vendor_16,ItemList,POList,1
INV-100912,PO-200912,661.73,0.12,741.14,741.14,2025-08-17 04:03:25.031511,2025-09-16 04:03:25.031511,Vendor_17,ItemList,POList,0
INV-100913,PO-200913,468.47,0.05,491.89,491.89,2025-08-07 04:03:25.031516,2025-09-06 04:03:25.031516,Vendor_15,ItemList,POList,0
INV-100914,PO-200914,596.84,0.1,656.52,656.52,2025-08-31 04:03:25.031521,2025-09-30 04:03:25.031521,Vendor_9,ItemList,POList,0
INV-100915,PO-200915,492.51,0.11,546.69,546.69,2025-08-30 04:03:25.031526,2025-09-29 04:03:25.031526,Vendor_6,ItemList,POList,0
INV-100916,PO-200916,365.02,0.12,428.29,428.29,2025-08-16 04:03:25.031531,2025-09-15 04:03:25.031531,Vendor_19,ItemList,POList,1
INV-100917,PO-200917,953.61,0.12,1068.04,1068.04,2025-08-24 04:03:25.031536,2025-09-23 04:03:25.031536,Vendor_14,ItemList,POList,0
INV-100918,PO-200918,787.25,0.11,873.85,873.85,2025-08-23 04:03:25.031541,2025-09-22 04:03:25.031541,Vendor_16,ItemList,POList,0
INV-100919,PO-200919,226.1,0.07,254.65,254.65,2025-08-27 04:03:25.031546,2025-09-26 04:03:25.031546,Vendor_3,ItemList,POList,1
INV-100920,PO-200920,881.62,0.14,1005.05,1005.05,2025-09-01 04:03:25.031551,2025-10-01 04:03:25.031551,Vendor_16,ItemList,POList,0
INV-100921,PO-200921,538.69,0.12,643.3,643.3,2025-08-09 04:03:25.031556,2025-09-08 04:03:25.031556,Vendor_12,ItemList,POList,1
INV-100922,PO-200922,905.1,0.07,995.27,995.27,2025-08-23 04:03:25.031561,2025-09-22 04:03:25.031561,Vendor_14,ItemList,POList,1
INV-100923,PO-200923,819.87,0.08,885.46,885.46,2025-08-23 04:03:25.031566,2025-09-22 04:03:25.031566,Vendor_11,ItemList,POList,0
INV-100924,PO-200924,482.69,0.14,562.73,562.73,2025-08-29 04:03:25.031571,2025-09-28 04:03:25.031571,Vendor_11,ItemList,POList,1
INV-100925,PO-200925,120.22,0.14,137.05,137.05,2025-09-02 04:03:25.031577,2025-10-02 04:03:25.031577,Vendor_4,ItemList,POList,0
INV-100926,PO-200926,341.81,0.09,372.57,372.57,2025-08-16 04:03:25.031582,2025-09-15 04:03:25.031582,Vendor_6,ItemList,POList,0
INV-100927,PO-200927,587.47,0.05,623.58,623.58,2025-09-01 04:03:25.031587,2025-10-01 04:03:25.031587,Vendor_11,ItemList,POList,1
INV-100928,PO-200928,670.13,0.05,703.64,703.64,2025-08-29 04:03:25.031592,2025-09-28 04:03:25.031592,Vendor_14,ItemList,POList,0
INV-100929,PO-200929,332.1,0.08,408.07,408.07,2025-08-09 04:03:25.031597,2025-09-08 04:03:25.031597,Vendor_16,ItemList,POList,1
INV-100930,PO-200930,225.42,0.11,287.36,287.36,2025-08-06 04:03:25.031602,2025-09-05 04:03:25.031602,Vendor_10,ItemList,POList,1
INV-100931,PO-200931,851.44,0.11,945.1,945.1,2025-08-30 04:03:25.031607,2025-09-29 04:03:25.031607,Vendor_13,ItemList,POList,0
INV-100932,PO-200932,985.96,0.11,1094.42,1094.42,2025-08-20 04:03:25.031612,2025-09-19 04:03:25.031612,Vendor_18,ItemList,POList,0
INV-100933,PO-200933,573.12,0.12,641.89,641.89,2025-08-25 04:03:25.031617,2025-09-24 04:03:25.031617,Vendor_2,ItemList,POList,0
INV-100934,PO-200934,254.51,0.05,267.24,267.24,2025-08-08 04:03:25.031622,2025-09-07 04:03:25.031622,Vendor_15,ItemList,POList,0
INV-100935,PO-200935,345.08,0.06,365.78,365.78,2025-08-26 04:03:25.031627,2025-09-25 04:03:25.031627,Vendor_3,ItemList,POList,0
INV-100936,PO-200936,116.55,0.09,127.04,127.04,2025-08-19 04:03:25.031633,2025-09-18 04:03:25.031633,Vendor_11,ItemList,POList,0
INV-100937,PO-200937,922.87,0.07,1023.07,1023.07,2025-08-14 04:03:25.031638,2025-09-13 04:03:25.031638,Vendor_9,ItemList,POList,1
INV-100938,PO-200938,205.98,0.06,245.97,245.97,2025-08-26 04:03:25.031643,2025-09-25 04:03:25.031643,Vendor_11,ItemList,POList,1
INV-100939,PO-200939,618.86,0.11,686.93,686.93,2025-08-10 04:03:25.031648,2025-09-09 04:03:25.031648,Vendor_4,ItemList,POList,0
INV-100940,PO-200940,346.65,0.13,391.71,391.71,2025-08-11 04:03:25.031653,2025-09-10 04:03:25.031653,Vendor_13,ItemList,POList,0
INV-100941,PO-200941,598.76,0.13,701.17,701.17,2025-08-06 04:03:25.031658,2025-09-05 04:03:25.031658,Vendor_17,ItemList,POList,1
INV-100942,PO-200942,686.28,0.13,775.5,775.5,2025-08-08 04:03:25.031663,2025-09-07 04:03:25.031663,Vendor_1,ItemList,POList,0
INV-100943,PO-200943,846.77,0.12,948.38,948.38,2025-08-19 04:03:25.031668,2025-09-18 04:03:25.031668,Vendor_18,ItemList,POList,0
INV-100944,PO-200944,285.78,0.12,320.07,320.07,2025-08-17 04:03:25.031673,2025-09-16 04:03:25.031673,Vendor_15,ItemList,POList,0
INV-100945,PO-200945,109.9,0.08,118.69,118.69,2025-08-13 04:03:25.031679,2025-09-12 04:03:25.031679,Vendor_14,ItemList,POList,0
INV-100946,PO-200946,223.2,0.15,297.5,297.5,2025-08-09 04:03:25.031685,2025-09-08 04:03:25.031685,Vendor_2,ItemList,POList,1
INV-100947,PO-200947,910.02,0.07,1015.92,1015.92,2025-08-21 04:03:25.031690,2025-09-20 04:03:25.031690,Vendor_7,ItemList,POList,1
INV-100948,PO-200948,886.5,0.07,948.56,948.56,2025-08-10 04:03:25.031695,2025-09-09 04:03:25.031695,Vendor_17,ItemList,POList,0
INV-100949,PO-200949,637.67,0.08,688.68,688.68,2025-08-18 04:03:25.031700,2025-09-17 04:03:25.031700,Vendor_12,ItemList,POList,0
INV-100950,PO-200950,640.47,0.15,736.54,736.54,2025-08-09 04:03:25.031719,2025-09-08 04:03:25.031719,Vendor_20,ItemList,POList,0
INV-100951,PO-200951,698.53,0.15,811.06,811.06,2025-08-06 04:03:25.031733,2025-09-05 04:03:25.031733,Vendor_16,ItemList,POList,1
INV-100952,PO-200952,257.83,0.13,335.02,335.02,2025-08-18 04:03:25.031742,2025-09-17 04:03:25.031742,Vendor_15,ItemList,POList,1
INV-100953,PO-200953,922.97,0.11,1063.77,1063.77,2025-08-23 04:03:25.031750,2025-09-22 04:03:25.031750,Vendor_2,ItemList,POList,1
INV-100954,PO-200954,476.89,0.1,551.46,551.46,2025-08-23 04:03:25.031759,2025-09-22 04:03:25.031759,Vendor_7,ItemList,POList,1
INV-100955,PO-200955,444.82,0.15,511.54,511.54,2025-09-01 04:03:25.031767,2025-10-01 04:03:25.031767,Vendor_9,ItemList,POList,0
INV-100956,PO-200956,567.03,0.12,661.51,661.51,2025-08-27 04:03:25.031775,2025-09-26 04:03:25.031775,Vendor_18,ItemList,POList,1
INV-100957,PO-200957,142.27,0.14,204.75,204.75,2025-08-17 04:03:25.031784,2025-09-16 04:03:25.031784,Vendor_5,ItemList,POList,1
INV-100958,PO-200958,249.66,0.08,269.63,269.63,2025-08-25 04:03:25.031792,2025-09-24 04:03:25.031792,Vendor_10,ItemList,POList,0
INV-100959,PO-200959,764.23,0.08,866.08,866.08,2025-08-16 04:03:25.031801,2025-09-15 04:03:25.031801,Vendor_15,ItemList,POList,1
INV-100960,PO-200960,174.52,0.14,198.95,198.95,2025-09-01 04:03:25.031810,2025-10-01 04:03:25.031810,Vendor_16,ItemList,POList,0
INV-100961,PO-200961,642.84,0.06,681.41,681.41,2025-08-29 04:03:25.031816,2025-09-28 04:03:25.031816,Vendor_4,ItemList,POList,0
INV-100962,PO-200962,320.81,0.14,365.72,365.72,2025-08-05 04:03:25.031821,2025-09-04 04:03:25.031821,Vendor_1,ItemList,POList,0
INV-100963,PO-200963,450.37,0.1,495.41,495.41,2025-08-07 04:03:25.031826,2025-09-06 04:03:25.031826,Vendor_20,ItemList,POList,0
INV-100964,PO-200964,359.82,0.14,410.19,410.19,2025-08-14 04:03:25.031831,2025-09-13 04:03:25.031831,Vendor_8,ItemList,POList,0
INV-100965,PO-200965,420.11,0.08,464.96,464.96,2025-08-12 04:03:25.031837,2025-09-11 04:03:25.031837,Vendor_6,ItemList,POList,1
INV-100966,PO-200966,747.14,0.12,836.8,836.8,2025-08-17 04:03:25.031842,2025-09-16 04:03:25.031842,Vendor_10,ItemList,POList,0
INV-100967,PO-200967,367.41,0.1,404.15,404.15,2025-08-23 04:03:25.031847,2025-09-22 04:03:25.031847,Vendor_18,ItemList,POList,0
INV-100968,PO-200968,609.76,0.11,676.83,676.83,2025-08-07 04:03:25.031852,2025-09-06 04:03:25.031852,Vendor_1,ItemList,POList,0
INV-100969,PO-200969,528.45,0.1,581.3,581.3,2025-08-28 04:03:25.031857,2025-09-27 04:03:25.031857,Vendor_18,ItemList,POList,0
INV-100970,PO-200970,697.3,0.15,801.9,801.9,2025-08-30 04:03:25.031862,2025-09-29 04:03:25.031862,Vendor_14,ItemList,POList,0
INV-100971,PO-200971,943.15,0.12,1086.04,1086.04,2025-08-07 04:03:25.031868,2025-09-06 04:03:25.031868,Vendor_3,ItemList,POList,1
INV-100972,PO-200972,759.31,0.08,868.68,868.68,2025-08-31 04:03:25.031873,2025-09-30 04:03:25.031873,Vendor_8,ItemList,POList,1
INV-100973,PO-200973,293.45,0.14,334.53,334.53,2025-08-22 04:03:25.031882,2025-09-21 04:03:25.031882,Vendor_4,ItemList,POList,0
INV-100974,PO-200974,128.06,0.08,138.3,138.3,2025-08-07 04:03:25.031887,2025-09-06 04:03:25.031887,Vendor_15,ItemList,POList,0
INV-100975,PO-200975,336.04,0.09,366.28,366.28,2025-09-02 04:03:25.031893,2025-10-02 04:03:25.031893,Vendor_4,ItemList,POList,0
INV-100976,PO-200976,635.57,0.06,673.7,673.7,2025-08-16 04:03:25.031898,2025-09-15 04:03:25.031898,Vendor_5,ItemList,POList,0
INV-100977,PO-200977,146.28,0.14,204.85,204.85,2025-08-06 04:03:25.031903,2025-09-05 04:03:25.031903,Vendor_16,ItemList,POList,1
INV-100978,PO-200978,546.73,0.08,590.47,590.47,2025-09-03 04:03:25.031908,2025-10-03 04:03:25.031908,Vendor_10,ItemList,POList,0
INV-100979,PO-200979,637.16,0.08,688.13,688.13,2025-08-12 04:03:25.031914,2025-09-11 04:03:25.031914,Vendor_17,ItemList,POList,0
INV-100980,PO-200980,400.82,0.14,505.72,505.72,2025-09-01 04:03:25.031919,2025-10-01 04:03:25.031919,Vendor_9,ItemList,POList,1
INV-100981,PO-200981,793.82,0.13,936.94,936.94,2025-08-25 04:03:25.031924,2025-09-24 04:03:25.031924,Vendor_14,ItemList,POList,1
INV-100982,PO-200982,195.94,0.06,207.7,207.7,2025-08-18 04:03:25.031929,2025-09-17 04:03:25.031929,Vendor_16,ItemList,POList,0
INV-100983,PO-200983,167.62,0.13,218.02,218.02,2025-08-23 04:03:25.031934,2025-09-22 04:03:25.031934,Vendor_16,ItemList,POList,1
INV-100984,PO-200984,755.37,0.14,861.12,861.12,2025-08-15 04:03:25.031940,2025-09-14 04:03:25.031940,Vendor_8,ItemList,POList,0
INV-100985,PO-200985,545.94,0.06,578.7,578.7,2025-08-20 04:03:25.031945,2025-09-19 04:03:25.031945,Vendor_15,ItemList,POList,0
INV-100986,PO-200986,719.56,0.13,813.1,813.1,2025-08-18 04:03:25.031950,2025-09-17 04:03:25.031950,Vendor_18,ItemList,POList,0
INV-100987,PO-200987,491.34,0.1,540.47,540.47,2025-08-12 04:03:25.031955,2025-09-11 04:03:25.031955,Vendor_5,ItemList,POList,0
INV-100988,PO-200988,321.76,0.12,392.59,392.59,2025-09-03 04:03:25.031960,2025-10-03 04:03:25.031960,Vendor_13,ItemList,POList,1
INV-100989,PO-200989,837.19,0.1,920.91,920.91,2025-08-28 04:03:25.031965,2025-09-27 04:03:25.031965,Vendor_7,ItemList,POList,0
INV-100990,PO-200990,819.47,0.12,917.81,917.81,2025-08-31 04:03:25.031971,2025-09-30 04:03:25.031971,Vendor_20,ItemList,POList,0
INV-100991,PO-200991,725.23,0.05,798.42,798.42,2025-08-24 04:03:25.031976,2025-09-23 04:03:25.031976,Vendor_17,ItemList,POList,1
INV-100992,PO-200992,344.93,0.13,389.77,389.77,2025-08-18 04:03:25.031981,2025-09-17 04:03:25.031981,Vendor_5,ItemList,POList,0
INV-100993,PO-200993,631.21,0.05,662.77,662.77,2025-08-29 04:03:25.031986,2025-09-28 04:03:25.031986,Vendor_3,ItemList,POList,0
INV-100994,PO-200994,424.88,0.1,505.17,505.17,2025-08-16 04:03:25.031992,2025-09-15 04:03:25.031992,Vendor_9,ItemList,POList,1
INV-100995,PO-200995,182.42,0.07,233.83,233.83,2025-08-21 04:03:25.031997,2025-09-20 04:03:25.031997,Vendor_14,ItemList,POList,1
INV-100996,PO-200996,925.58,0.13,1045.91,1045.91,2025-08-27 04:03:25.032002,2025-09-26 04:03:25.032002,Vendor_11,ItemList,POList,0
INV-100997,PO-200997,223.14,0.08,287.85,287.85,2025-08-16 04:03:25.032007,2025-09-15 04:03:25.032007,Vendor_17,ItemList,POList,1
INV-100998,PO-200998,955.21,0.1,1050.73,1050.73,2025-08-25 04:03:25.032012,2025-09-24 04:03:25.032012,Vendor_9,ItemList,POList,0
INV-100999,PO-200999,501.41,0.09,546.54,546.54,2025-08-16 04:03:25.032017,2025-09-15 04:03:25.032017,Vendor_1,ItemList,POList,0
INV-101000,PO-201000,266.62,0.13,301.28,301.28,2025-08-16 04:03:25.032022,2025-09-15 04:03:25.032022,Vendor_10,ItemList,POList,0
INV-101001,PO-201001,587.71,0.1,665.39,665.39,2025-08-11 04:03:25.032031,2025-09-10 04:03:25.032031,Vendor_10,ItemList,POList,1
INV-101002,PO-201002,885.65,0.13,1043.11,1043.11,2025-08-14 04:03:25.032039,2025-09-13 04:03:25.032039,Vendor_19,ItemList,POList,1
INV-101003,PO-201003,759.0,0.06,804.54,804.54,2025-09-03 04:03:25.032048,2025-10-03 04:03:25.032048,Vendor_19,ItemList,POList,0
INV-101004,PO-201004,825.91,0.07,883.72,883.72,2025-08-20 04:03:25.032054,2025-09-19 04:03:25.032054,Vendor_16,ItemList,POList,0
INV-101005,PO-201005,692.91,0.11,799.77,799.77,2025-08-31 04:03:25.032059,2025-09-30 04:03:25.032059,Vendor_5,ItemList,POList,1
INV-101006,PO-201006,723.05,0.14,824.28,824.28,2025-08-28 04:03:25.032064,2025-09-27 04:03:25.032064,Vendor_15,ItemList,POList,0
INV-101007,PO-201007,864.28,0.06,916.14,916.14,2025-08-07 04:03:25.032070,2025-09-06 04:03:25.032070,Vendor_18,ItemList,POList,0
INV-101008,PO-201008,324.7,0.05,340.94,340.94,2025-09-03 04:03:25.032075,2025-10-03 04:03:25.032075,Vendor_16,ItemList,POList,0
INV-101009,PO-201009,540.48,0.07,623.15,623.15,2025-08-07 04:03:25.032080,2025-09-06 04:03:25.032080,Vendor_12,ItemList,POList,1
INV-101010,PO-201010,299.09,0.11,331.99,331.99,2025-08-05 04:03:25.032085,2025-09-04 04:03:25.032085,Vendor_11,ItemList,POList,0
INV-101011,PO-201011,988.9,0.09,1077.9,1077.9,2025-08-09 04:03:25.032090,2025-09-08 04:03:25.032090,Vendor_18,ItemList,POList,0
INV-101012,PO-201012,949.65,0.13,1106.5,1106.5,2025-08-12 04:03:25.032097,2025-09-11 04:03:25.032097,Vendor_18,ItemList,POList,1
INV-101013,PO-201013,135.48,0.06,190.69,190.69,2025-08-21 04:03:25.032105,2025-09-20 04:03:25.032105,Vendor_13,ItemList,POList,1
INV-101014,PO-201014,735.02,0.07,786.47,786.47,2025-08-20 04:03:25.032114,2025-09-19 04:03:25.032114,Vendor_15,ItemList,POList,0
INV-101015,PO-201015,932.72,0.08,1031.42,1031.42,2025-08-20 04:03:25.032123,2025-09-19 04:03:25.032123,Vendor_11,ItemList,POList,1
INV-101016,PO-201016,262.52,0.11,300.87,300.87,2025-08-22 04:03:25.032132,2025-09-21 04:03:25.032132,Vendor_7,ItemList,POList,1
INV-101017,PO-201017,611.15,0.12,718.51,718.51,2025-08-22 04:03:25.032137,2025-09-21 04:03:25.032137,Vendor_8,ItemList,POList,1
INV-101018,PO-201018,923.94,0.06,979.38,979.38,2025-08-18 04:03:25.032142,2025-09-17 04:03:25.032142,Vendor_19,ItemList,POList,0
INV-101019,PO-201019,130.55,0.14,188.68,188.68,2025-08-16 04:03:25.032147,2025-09-15 04:03:25.032147,Vendor_13,ItemList,POList,1
INV-101020,PO-201020,727.68,0.08,822.01,822.01,2025-08-14 04:03:25.032153,2025-09-13 04:03:25.032153,Vendor_8,ItemList,POList,1
INV-101021,PO-201021,367.61,0.12,411.72,411.72,2025-08-06 04:03:25.032159,2025-09-05 04:03:25.032159,Vendor_14,ItemList,POList,0
INV-101022,PO-201022,931.96,0.1,1025.16,1025.16,2025-08-25 04:03:25.032164,2025-09-24 04:03:25.032164,Vendor_2,ItemList,POList,0
INV-101023,PO-201023,973.95,0.07,1042.13,1042.13,2025-08-30 04:03:25.032169,2025-09-29 04:03:25.032169,Vendor_11,ItemList,POList,0
INV-101024,PO-201024,949.84,0.13,1073.32,1073.32,2025-08-27 04:03:25.032177,2025-09-26 04:03:25.032177,Vendor_16,ItemList,POList,0
INV-101025,PO-201025,526.79,0.13,595.27,595.27,2025-09-01 04:03:25.032186,2025-10-01 04:03:25.032186,Vendor_13,ItemList,POList,0
INV-101026,PO-201026,875.84,0.09,954.67,954.67,2025-08-07 04:03:25.032195,2025-09-06 04:03:25.032195,Vendor_13,ItemList,POList,0
INV-101027,PO-201027,860.09,0.11,954.7,954.7,2025-08-05 04:03:25.032204,2025-09-04 04:03:25.032204,Vendor_5,ItemList,POList,0
INV-101028,PO-201028,387.19,0.08,418.17,418.17,2025-08-13 04:03:25.032212,2025-09-12 04:03:25.032212,Vendor_16,ItemList,POList,0
INV-101029,PO-201029,846.02,0.12,947.54,947.54,2025-08-29 04:03:25.032222,2025-09-28 04:03:25.032222,Vendor_2,ItemList,POList,0
INV-101030,PO-201030,133.31,0.08,181.6,181.6,2025-08-08 04:03:25.032231,2025-09-07 04:03:25.032231,Vendor_5,ItemList,POList,1
INV-101031,PO-201031,636.64,0.13,719.4,719.4,2025-08-25 04:03:25.032239,2025-09-24 04:03:25.032239,Vendor_17,ItemList,POList,0
INV-101032,PO-201032,307.01,0.07,334.8,334.8,2025-08-20 04:03:25.032248,2025-09-19 04:03:25.032248,Vendor_19,ItemList,POList,1
INV-101033,PO-201033,208.51,0.05,267.36,267.36,2025-08-08 04:03:25.032256,2025-09-07 04:03:25.032256,Vendor_11,ItemList,POList,1
INV-101034,PO-201034,169.26,0.08,182.8,182.8,2025-08-28 04:03:25.032265,2025-09-27 04:03:25.032265,Vendor_4,ItemList,POList,0
INV-101035,PO-201035,726.66,0.07,777.53,777.53,2025-08-21 04:03:25.032272,2025-09-20 04:03:25.032272,Vendor_15,ItemList,POList,0
INV-101036,PO-201036,405.89,0.1,446.48,446.48,2025-08-19 04:03:25.032278,2025-09-18 04:03:25.032278,Vendor_4,ItemList,POList,0
INV-101037,PO-201037,752.29,0.07,804.95,804.95,2025-08-08 04:03:25.032284,2025-09-07 04:03:25.032284,Vendor_17,ItemList,POList,0
INV-101038,PO-201038,158.82,0.13,179.47,179.47,2025-08-08 04:03:25.032289,2025-09-07 04:03:25.032289,Vendor_15,ItemList,POList,0
INV-101039,PO-201039,383.76,0.07,410.62,410.62,2025-08-16 04:03:25.032294,2025-09-15 04:03:25.032294,Vendor_1,ItemList,POList,0
INV-101040,PO-201040,585.54,0.12,655.8,655.8,2025-08-07 04:03:25.032300,2025-09-06 04:03:25.032300,Vendor_5,ItemList,POList,0
INV-101041,PO-201041,811.65,0.11,900.93,900.93,2025-08-24 04:03:25.032308,2025-09-23 04:03:25.032308,Vendor_14,ItemList,POList,0
INV-101042,PO-201042,386.88,0.15,461.8,461.8,2025-08-27 04:03:25.032317,2025-09-26 04:03:25.032317,Vendor_5,ItemList,POList,1
INV-101043,PO-201043,663.3,0.15,786.42,786.42,2025-08-09 04:03:25.032325,2025-09-08 04:03:25.032325,Vendor_3,ItemList,POList,1
INV-101044,PO-201044,897.38,0.14,1023.01,1023.01,2025-08-23 04:03:25.032333,2025-09-22 04:03:25.032333,Vendor_16,ItemList,POList,0
INV-101045,PO-201045,654.28,0.13,763.17,763.17,2025-09-03 04:03:25.032342,2025-10-03 04:03:25.032342,Vendor_9,ItemList,POList,1
INV-101046,PO-201046,309.66,0.09,337.53,337.53,2025-08-10 04:03:25.032351,2025-09-09 04:03:25.032351,Vendor_11,ItemList,POList,0
INV-101047,PO-201047,121.96,0.13,183.62,183.62,2025-09-01 04:03:25.032356,2025-10-01 04:03:25.032356,Vendor_20,ItemList,POList,1
INV-101048,PO-201048,883.09,0.15,1015.55,1015.55,2025-08-30 04:03:25.032361,2025-09-29 04:03:25.032361,Vendor_13,ItemList,POList,0
INV-101049,PO-201049,119.14,0.05,163.57,163.57,2025-08-13 04:03:25.032367,2025-09-12 04:03:25.032367,Vendor_3,ItemList,POList,1
INV-101050,PO-201050,887.23,0.1,1008.86,1008.86,2025-08-07 04:03:25.032372,2025-09-06 04:03:25.032372,Vendor_11,ItemList,POList,1
INV-101051,PO-201051,576.04,0.07,626.76,626.76,2025-08-06 04:03:25.032377,2025-09-05 04:03:25.032377,Vendor_18,ItemList,POList,1
INV-101052,PO-201052,945.16,0.11,1068.68,1068.68,2025-08-29 04:03:25.032382,2025-09-28 04:03:25.032382,Vendor_13,ItemList,POList,1
INV-101053,PO-201053,818.9,0.1,900.79,900.79,2025-08-25 04:03:25.032387,2025-09-24 04:03:25.032387,Vendor_11,ItemList,POList,0
INV-101054,PO-201054,998.14,0.11,1135.07,1135.07,2025-08-14 04:03:25.032393,2025-09-13 04:03:25.032393,Vendor_16,ItemList,POList,1
INV-101055,PO-201055,415.64,0.11,461.36,461.36,2025-08-09 04:03:25.032398,2025-09-08 04:03:25.032398,Vendor_18,ItemList,POList,0
INV-101056,PO-201056,790.47,0.15,909.04,909.04,2025-09-02 04:03:25.032403,2025-10-02 04:03:25.032403,Vendor_2,ItemList,POList,0
INV-101057,PO-201057,461.74,0.11,522.7,522.7,2025-08-11 04:03:25.032408,2025-09-10 04:03:25.032408,Vendor_20,ItemList,POList,1
INV-101058,PO-201058,531.89,0.13,601.04,601.04,2025-08-19 04:03:25.032413,2025-09-18 04:03:25.032413,Vendor_3,ItemList,POList,0
INV-101059,PO-201059,664.75,0.08,748.64,748.64,2025-08-06 04:03:25.032421,2025-09-05 04:03:25.032421,Vendor_8,ItemList,POList,1
INV-101060,PO-201060,886.31,0.09,980.72,980.72,2025-08-14 04:03:25.032426,2025-09-13 04:03:25.032426,Vendor_10,ItemList,POList,1
INV-101061,PO-201061,985.68,0.1,1084.25,1084.25,2025-08-15 04:03:25.032431,2025-09-14 04:03:25.032431,Vendor_8,ItemList,POList,0
INV-101062,PO-201062,791.45,0.08,896.87,896.87,2025-08-25 04:03:25.032436,2025-09-24 04:03:25.032436,Vendor_3,ItemList,POList,1
INV-101063,PO-201063,475.99,0.09,561.13,561.13,2025-08-28 04:03:25.032442,2025-09-27 04:03:25.032442,Vendor_14,ItemList,POList,1
INV-101064,PO-201064,479.22,0.11,531.93,531.93,2025-08-12 04:03:25.032447,2025-09-11 04:03:25.032447,Vendor_4,ItemList,POList,0
INV-101065,PO-201065,763.82,0.11,879.79,879.79,2025-08-30 04:03:25.032453,2025-09-29 04:03:25.032453,Vendor_4,ItemList,POList,1
INV-101066,PO-201066,314.9,0.11,370.72,370.72,2025-08-27 04:03:25.032458,2025-09-26 04:03:25.032458,Vendor_15,ItemList,POList,1
INV-101067,PO-201067,199.43,0.09,224.38,224.38,2025-08-25 04:03:25.032463,2025-09-24 04:03:25.032463,Vendor_6,ItemList,POList,1
INV-101068,PO-201068,419.16,0.08,486.0,486.0,2025-08-16 04:03:25.032468,2025-09-15 04:03:25.032468,Vendor_10,ItemList,POList,1
INV-101069,PO-201069,358.52,0.11,397.96,397.96,2025-08-08 04:03:25.032473,2025-09-07 04:03:25.032473,Vendor_1,ItemList,POList,0
INV-101070,PO-201070,366.68,0.06,388.68,388.68,2025-09-01 04:03:25.032479,2025-10-01 04:03:25.032479,Vendor_2,ItemList,POList,0
INV-101071,PO-201071,310.25,0.08,375.38,375.38,2025-09-02 04:03:25.032484,2025-10-02 04:03:25.032484,Vendor_11,ItemList,POList,1
INV-101072,PO-201072,137.88,0.05,144.77,144.77,2025-08-17 04:03:25.032489,2025-09-16 04:03:25.032489,Vendor_2,ItemList,POList,0
INV-101073,PO-201073,116.09,0.06,123.06,123.06,2025-08-22 04:03:25.032494,2025-09-21 04:03:25.032494,Vendor_10,ItemList,POList,0
INV-101074,PO-201074,988.95,0.07,1058.18,1058.18,2025-08-22 04:03:25.032499,2025-09-21 04:03:25.032499,Vendor_12,ItemList,POList,0
INV-101075,PO-201075,485.0,0.05,509.25,509.25,2025-08-31 04:03:25.032504,2025-09-30 04:03:25.032504,Vendor_12,ItemList,POList,0
INV-101076,PO-201076,445.89,0.07,477.1,477.1,2025-08-07 04:03:25.032509,2025-09-06 04:03:25.032509,Vendor_14,ItemList,POList,0
INV-101077,PO-201077,711.68,0.12,797.08,797.08,2025-08-07 04:03:25.032514,2025-09-06 04:03:25.032514,Vendor_5,ItemList,POList,0
INV-101078,PO-201078,296.43,0.06,354.78,354.78,2025-08-11 04:03:25.032519,2025-09-10 04:03:25.032519,Vendor_8,ItemList,POList,1
INV-101079,PO-201079,954.97,0.09,1040.92,1040.92,2025-08-26 04:03:25.032525,2025-09-25 04:03:25.032525,Vendor_17,ItemList,POList,0
INV-101080,PO-201080,807.71,0.14,920.79,920.79,2025-08-21 04:03:25.032530,2025-09-20 04:03:25.032530,Vendor_14,ItemList,POList,0
INV-101081,PO-201081,180.47,0.13,203.93,203.93,2025-09-01 04:03:25.032535,2025-10-01 04:03:25.032535,Vendor_19,ItemList,POList,0
INV-101082,PO-201082,475.82,0.08,540.69,540.69,2025-09-02 04:03:25.032540,2025-10-02 04:03:25.032540,Vendor_6,ItemList,POList,1
INV-101083,PO-201083,891.21,0.14,1015.98,1015.98,2025-08-10 04:03:25.032545,2025-09-09 04:03:25.032545,Vendor_6,ItemList,POList,0
INV-101084,PO-201084,950.26,0.08,1026.28,1026.28,2025-08-20 04:03:25.032550,2025-09-19 04:03:25.032550,Vendor_6,ItemList,POList,0
INV-101085,PO-201085,520.66,0.06,563.22,563.22,2025-09-01 04:03:25.032555,2025-10-01 04:03:25.032555,Vendor_3,ItemList,POList,1
INV-101086,PO-201086,652.07,0.15,757.8,757.8,2025-08-09 04:03:25.032560,2025-09-08 04:03:25.032560,Vendor_20,ItemList,POList,1
INV-101087,PO-201087,250.33,0.14,285.38,285.38,2025-08-26 04:03:25.032566,2025-09-25 04:03:25.032566,Vendor_13,ItemList,POList,0
INV-101088,PO-201088,992.05,0.1,1091.25,1091.25,2025-08-28 04:03:25.032571,2025-09-27 04:03:25.032571,Vendor_20,ItemList,POList,0
